NAME,JANUARY,FEBUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,YEAR,CATEGORY,SUB_CATEGORY
401k,1211.56,1211.56,1284,1240,1911,849,1272,1272,1272,1272,1941,,2024,INCOME,EMPLOYEE_BENEFIT
401k,,,1209,1209,1209,1813.5,1209,1254,1209,1211.56,1817.34,1211.56,2023,INCOME,EMPLOYEE_BENEFIT
American Express,1308,5964,1661,1864,1870,2593,2587,2429,1174,3131,1436,,2024,BANK,CARD
American Express,,,0,2963,1424.84,2003,1572.17,2238,2516,1563,1357,2845,2023,BANK,CARD
Apple,0,0,0,0,0,76,90,0,0,0,0,,2024,BANK,CARD
Apple,,,,,103,,207,,53,0,50,21,2023,BANK,CARD
Chase,71,64,16,85,113,44,38,23,176,431,2094,,2024,BANK,CARD
Chase,135.87,30,164,41.64,105.46,292,125,320,414.48,819,99,155,2023,BANK,CARD
Debt re-payment,500,500,500,500,500,500,500,500,500,500,500,,2024,EXPENSE,OTHER
Debt re-payment,,,500,500,500,500,500,500,500,500,500,500,2023,EXPENSE,OTHER
Discover,96,84,72,9,9,8,4,4,0,0,0,,2024,BANK,CARD
Discover,2403.19,1130,2238,656,390.1,139,216,186,108.21,96,95,96,2023,BANK,CARD
Discover,979,955,910.32,1353.78,2212,1038.77,1760.39,1111,799,991.61,1405.13,,2022,BANK,CARD
Discover,,,,,,,,,1364,851,975.55,944,2021,BANK,CARD
Dividends,,,,,,,,,,,,,2024,INCOME,OTHER
Dividends,,,,,,,,,,,,,2023,INCOME,OTHER
Dividends,,,,,,,,,,,,,2022,INCOME,OTHER
Dividends,,,,,,,,,,,,,2021,INCOME,OTHER
Electricity,57.5,46.5,56,53,64,106.5,92,19.4,0,0,0,,2024,EXPENSE,UTILITY
Electricity,42.42,45,39.5,50.5,60.375,91.5,101,79.5,92,55,45,43.5,2023,EXPENSE,UTILITY
Electricity,51.5,47.5,55.13,51.115,56,83.105,78.5,71.5,81.5,40,46,48,2022,EXPENSE,UTILITY
Electricity,,,,,,,,,71,52.75,84.3,50.275,2021,EXPENSE,UTILITY
Gas,62,53.5,48,48,37,37.5,35,11,0,0,0,,2024,EXPENSE,UTILITY
Gas,61.5,46,47,35,34,36,34,34,30.5,35,39.5,52.5,2023,EXPENSE,UTILITY
Gas,35,42.5,45.75,37.205,31,29.5,30,40.885,29,45,42,41,2022,EXPENSE,UTILITY
Gas,,,,,,,,,26,27,55,30,2021,EXPENSE,UTILITY
Gifts Received,,1000,0,0,,,,,,,,,2024,INCOME,OTHER
Gifts Received,,,,,,,,,,,,,2023,INCOME,OTHER
Gifts Received,,,,,,,,,155,100,,,2022,INCOME,OTHER
Gifts Received,,,,,,,,,,,,,2021,INCOME,OTHER
Health Saving Account,38.46,76.92,76.92,76.92,76,115,76,76,76,76,114,,2024,INCOME,EMPLOYEE_BENEFIT
Health Saving Account,,,80,80,80.72,80.72,81.26,81.26,80.72,80.72,121.08,80.72,2023,INCOME,EMPLOYEE_BENEFIT
Internet,32.5,32.5,32.5,32.5,37.5,35,35,0,0,0,0,,2024,EXPENSE,UTILITY
Internet,33,32.5,32.665,32.5,32.665,32.5,32.5,32.5,32.5,33,33,32.5,2023,EXPENSE,UTILITY
Internet,27.945,27.945,27.945,27.945,27.925,27.925,32.97,33,33,32.5,15.165,32.5,2022,EXPENSE,UTILITY
Internet,,,,,,,,,28,27.945,27.945,27.945,2021,EXPENSE,UTILITY
loan,,,,,,,,,,,,,2024,INCOME,OTHER
loan,,,,,,,,,,,,,2023,INCOME,OTHER
loan,1700,1700,1700,1700,1700,,,1700,,1700,1700,,2022,INCOME,OTHER
loan,,,,,,,,,1700,1700,1700,1700,2021,INCOME,OTHER
Other,,,,,,,,188,,,,,2024,INCOME,OTHER
Other,,,,,,,,,,,,,2023,INCOME,OTHER
Other,,,,,,,,,,,,,2022,INCOME,OTHER
Other,,,,,,,,,60,,,,2021,INCOME,OTHER
Other,,,,,,,,,,,,,2022,EXPENSE,OTHER
Other USAA,270,0,43,0,0,100,275,221,109,8.5,1095,,2024,BANK,CARD
Other USAA,,,,,103,108,,296,109,,275,,2023,BANK,CARD
