NAME,YEAR,CATEGORY,SUB_CATEGORY,MONTH,VALUE
401k,2024,INCOME,EMPLOYEE_BENEFIT,JANUARY,1211.56
401k,2023,INCOME,EMPLOYEE_BENEFIT,JANUARY,
American Express,2024,BANK,CARD,JANUARY,1308.0
American Express,2023,BANK,CARD,JANUARY,
Apple,2024,BANK,CARD,JANUARY,0.0
Apple,2023,BANK,CARD,JANUARY,
Chase,2024,BANK,CARD,JANUARY,71.0
Chase,2023,BANK,CARD,JANUARY,135.87
Debt re-payment,2024,EXPENSE,OTHER,JANUARY,500.0
Debt re-payment,2023,EXPENSE,OTHER,JANUARY,
Discover,2024,BANK,CARD,JANUARY,96.0
Discover,2023,BANK,CARD,JANUARY,2403.19
Discover,2022,BANK,CARD,JANUARY,979.0
Discover,2021,BANK,CARD,JANUARY,
Dividends,2024,INCOME,OTHER,JANUARY,
Dividends,2023,INCOME,OTHER,JANUARY,
Dividends,2022,INCOME,OTHER,JANUARY,
Dividends,2021,INCOME,OTHER,JANUARY,
Electricity,2024,EXPENSE,UTILITY,JANUARY,57.5
Electricity,2023,EXPENSE,UTILITY,JANUARY,42.42
Electricity,2022,EXPENSE,UTILITY,JANUARY,51.5
Electricity,2021,EXPENSE,UTILITY,JANUARY,
Gas,2024,EXPENSE,UTILITY,JANUARY,62.0
Gas,2023,EXPENSE,UTILITY,JANUARY,61.5
Gas,2022,EXPENSE,UTILITY,JANUARY,35.0
Gas,2021,EXPENSE,UTILITY,JANUARY,
Gifts Received,2024,INCOME,OTHER,JANUARY,
Gifts Received,2023,INCOME,OTHER,JANUARY,
Gifts Received,2022,INCOME,OTHER,JANUARY,
Gifts Received,2021,INCOME,OTHER,JANUARY,
Health Saving Account,2024,INCOME,EMPLOYEE_BENEFIT,JANUARY,38.46
Health Saving Account,2023,INCOME,EMPLOYEE_BENEFIT,JANUARY,
Internet,2024,EXPENSE,UTILITY,JANUARY,32.5
Internet,2023,EXPENSE,UTILITY,JANUARY,33.0
Internet,2022,EXPENSE,UTILITY,JANUARY,27.945
Internet,2021,EXPENSE,UTILITY,JANUARY,
loan,2024,INCOME,OTHER,JANUARY,
loan,2023,INCOME,OTHER,JANUARY,
loan,2022,INCOME,OTHER,JANUARY,1700.0
loan,2021,INCOME,OTHER,JANUARY,
Other,2024,INCOME,OTHER,JANUARY,
Other,2023,INCOME,OTHER,JANUARY,
Other,2022,INCOME,OTHER,JANUARY,
Other,2021,INCOME,OTHER,JANUARY,
Other,2022,EXPENSE,OTHER,JANUARY,
Other USAA,2024,BANK,CARD,JANUARY,270.0
Other USAA,2023,BANK,CARD,JANUARY,
Phone,2024,EXPENSE,UTILITY,JANUARY,73.0
Phone,2023,EXPENSE,UTILITY,JANUARY,
Phone,2022,EXPENSE,UTILITY,JANUARY,
Phone,2021,EXPENSE,UTILITY,JANUARY,
Refunds/Reimbursements,2024,INCOME,OTHER,JANUARY,0.0
Refunds/Reimbursements,2023,INCOME,OTHER,JANUARY,
Refunds/Reimbursements,2022,INCOME,OTHER,JANUARY,
Refunds/Reimbursements,2021,INCOME,OTHER,JANUARY,
Rent,2023,EXPENSE,RENT,JANUARY,1027.0
Rent,2022,EXPENSE,RENT,JANUARY,963.38
Rent,2021,EXPENSE,RENT,JANUARY,
Rent,2024,EXPENSE,RENT,JANUARY,1070.5
Stock Purchase Plan,2024,INCOME,EMPLOYEE_BENEFIT,JANUARY,866.0
Stock Purchase Plan,2023,INCOME,EMPLOYEE_BENEFIT,JANUARY,
Transfer From Savings,2021,INCOME,OTHER,JANUARY,
